tree.species;species.code.bodelschwingh;logging.method;value.level;a;b;c;d;e
poplar;430;combined;3;9,32E-06;-1,50E-03;0,076865746;-1,10963846;31,25622855
poplar;430;harvester;1;1,83E-06;-1,32E-03;9,23E-02;-1,5341;34,1703
poplar;430;harvester;2;4,05E-06;-1,48E-03;9,52E-02;-1,5357;34,0699
poplar;430;harvester;3;-1,77E-06;-4,56E-04;4,48E-02;-0,748;30,0361
poplar;430;manually;1;6,94E-06;-1,12E-03;5,35E-02;-0,3838;25,3381
poplar;430;manually;2;6,99E-06;-1,06E-03;4,58E-02;-0,132;23,273
poplar;430;manually;3;6,41E-06;-1,00E-03;4,70E-02;-0,4123;26,4238
spruce;511;combined;1;-6,12E-06;1,44E-03;-0,126885732;5,366781508;-1,393838778
spruce;511;combined;2;2,21E-06;-2,67E-05;-0,038063692;2,980154791;19,60207317
spruce;511;combined;3;-1,79E-06;5,72E-04;-0,065310149;3,307166495;13,81961881
spruce;511;harvester;1;-7,11E-06;1,60E-03;-1,36E-01;5,5442;-2,4669
spruce;511;harvester;2;2,57E-06;-8,37E-05;-3,52E-02;2,9212;19,9948
spruce;511;harvester;3;-2,42E-06;6,60E-04;-6,92E-02;3,3834;13,3125
spruce;511;manually;1;-3,81E-06;1,02E-03;-9,89E-02;4,5039;10,2137
spruce;511;manually;2;1,31E-06;1,08E-04;-4,39E-02;3,0224;21,0919
spruce;511;manually;3;4,51E-07;2,08E-04;-4,59E-02;2,9486;14,0121
